id;acreedorCodigoSap;ruc;telefono;idCondicionPago;idMoneda;idTipoProveedor;email;razonSocial;tipoPersona;direccionFiscal;emailRetencion;
1;1002246;20613068245;;NT90;PEN;1;nancy@ecologicacomunicaciones.com;GRUPO ECOLOGICA SAC;J;JR. GIRIBALDI NRO. 482 PISO 7;
2;1001971;20504885781;;NT90;USD;1;facturacion.suminer@suminer.com;SUMINER SAC;J;JR. JUAN MANUEL DEL MAR Y BERNEDO NRO. 1335 URB. CHACRA RIOS SUR LIM;
3;1001932;20516663643;;NT60;USD;1;martha.peralta@codrise.com;COMERCIAL DRILLING SERVICES SOCIEDAD;J;AV. ALAMEDA SUR NRO. 216 URB. VILLA MARINA LIMA;
4;1001520;20501512126;;NT90;USD;1;ventas@maquequimin.com;MAQUINAS Y EQUIPOS PARA MINERIA TEO'S E.I.R.L;J;CAL.LOS DURAZNOS MZA. B LOTE. 04 P.J. VIRGEN DE FATIMA DE MORON;
5;1000485;20379961143;;NT60;USD;1;angela.seminario@rnpsa.com;PERFOMEX PERU SAC;J;CAL.LOS TALLADORES NRO. 131 URB. LOS ARTESANOS LIMA;
6;1001855;20609207371;;NT60;USD;1;gian.marval@cxmart.net;CXMART S.A.C.;J;AVENIDA GRAU 325, DPTO 603, MIRAFLORES;
7;1002406;20100045193;;NT90;USD;1;maalegre@incoresa.com.pe;DISTRIBUIDORA INCORESA S A;J;CAL.SANTA BERNARDITA NRO. 024 URB;
8;1002389;20604512825;;NT90;PEN;1;humberto.viacava@ecologics.pe;ECOLOGICS S.A.C.;J;AV. ERNESTO DIEZ CANSECO NRO. 333;
9;1002506;20547233001;;NT60;PEN;1;p.valverde@ravalverde.com.pe;REPUESTOS AUTOMOTRIZ VALVERDE E.I.R.L;J;AV. NICOLAS AYLLON NRO. 3326 COO.;
10;1000073;20573014902;;NT60;PEN;1;inversionesvictoriaseirl@hotmail.com;INVERSIONES VICTORIA'S E.I.R.L.;J;PQ. PLAZA PRINCIPAL NRO 3 BARR. CENTRO;
11;1001934;20610345990;;NT60;USD;1;urruchijaimesj@gmail.com;INVERSIONES URRUCHI S.A.C.;J;CAL.LOS LIRIOS NRO. S/N URB. PRIMAVERA;
12;1002333;20265681299;;NT90;PEN;1;gretta.hernandez@equifax.com;EQUIFAX PERU S.A;J;CAL.CHINCHON NRO. 1018 (PISO 13);
